Ticker,open,high,low,close,volume
DVA,97.0,97.77,95.79,95.82,750957
DVN,77.9,78.17,76.0645,77.05,7709844
DXC,35.81,36.0,35.3,35.4,1551526
DXCM,75.3925,75.80125,72.5125,74.08,3909664
DYN,4.72,4.72,4.35,4.45,79565
EA,141.46,142.225,139.87,140.35,1649212
EBAY,47.99,48.76,47.465,47.67,5350174
ECL,171.53,173.0,169.58,169.82,960396
ED,98.4,99.235,97.67,98.1,983886
EFX,202.43,202.43,198.77,199.47,332662
EIX,69.71,69.975,69.19,69.4,1232893
EL,267.88,269.77,264.48,265.68,1345915
ELV,496.35,501.1,495.19,497.42,634037
EMN,110.59,112.78,109.95,111.38,752527
EMR,91.1,91.39,90.06,90.25,1675658
ENDP,0.55,0.568,0.4501,0.4667,25539651
ENPH,211.0,215.35,204.3101,206.97,4167794
EOG,141.2,141.93,137.755,139.31,3225015
EP,21.2,21.2,19.55,20.42,132000
EPAM,339.3,342.71,327.75,332.09,338837
EQIX,687.85,692.85,680.065,692.36,527393
EQR,76.55,76.56,73.73,73.85,1833398
EQT,49.03,49.94,48.38,49.02,5923229
ES,92.52,93.05,92.12,92.28,672214
ESS,287.0,287.82,275.97,276.55,448212
ETN,142.29,142.7,141.13,141.36,1659402
ETR,120.41,121.48,119.86,121.34,798473
ETSY,82.19,84.99,81.02,83.83,2831323
EVRG,70.23,70.53,69.87,70.4,1766810
EW,98.13,98.8159,95.97,96.41,2986141
EXC,49.1,49.14,48.435,48.55,4454907
EXPD,110.33,110.65,109.43,109.62,1120666
EXPE,133.31,134.91,131.86,133.35,1834021
EXR,179.72,179.965,174.99,175.09,640572
F,13.74,13.74,13.38,13.46,37711084
FANG,155.76,156.86,153.2527,155.81,1561850
FAST,54.6,55.08,54.31,54.73,2610915
FBHS,71.48,71.925,70.58,70.79,929218
FCX,41.85,42.965,41.675,42.78,15137407
FDS,382.52,383.67,377.31,377.82,131894
FDX,221.0,225.15,219.95,222.85,1562940
FE,42.01,42.06,41.705,41.83,2941170
FFIV,168.71,169.03,165.89,166.49,332136
FHN,22.99,23.025,22.7,22.73,1683185
FIS,105.0,106.65,104.7,105.3,2375850
FISV,100.8,102.17,99.87,100.29,1805070
FITB,39.39,40.07,39.035,39.45,3475348
FL,32.93,32.99,32.27,32.63,2389447
FLR,28.9,28.9417,27.43,27.7,1900407
FLS,31.46,31.9,31.06,31.68,1242897
FLT,245.6,250.28,244.1,247.45,320761
FMC,122.11,122.11,119.51,120.47,1231129
FOSL,7.23,7.28,7.02,7.18,655812
FOX,31.83,31.93,31.405,31.59,899279
FOXA,34.105,34.48,33.89,34.08,1425627
FRC,155.01,155.8487,154.0,154.34,928339
FRT,112.69,113.16,109.72200000000001,110.47,454631
FSLR,76.72,76.72,71.58,71.99,3519398
FTI,8.27,8.36,8.19,8.26,8942178
FTNT,60.184,60.298,59.032,59.394,3275255
FTV,63.36,63.55,62.86,63.0,1349512
GD,231.33,232.41,229.48,229.9,956924
GE,77.91,78.29,76.77,77.0,4744095
GHC,602.99,606.89,601.48,605.44,10134
GILD,62.575,63.02,61.65,62.03,7865977
GIS,68.71,68.935,68.1225,68.77,2154178
GL,97.39,98.569,96.455,97.72,262261
GLW,36.21,36.525,35.725,35.89,2537205
GM,38.35,38.43,37.51,37.83,11028981
GME,135.3,136.105,127.05,128.1,2383230
GNRC,275.93,287.72,275.86,284.34,1358339
GNW,4.0,4.105,4.0,4.08,2876694
GOOG,2334.85,2387.9696,2330.5658,2340.21,1189336
GOOGL,2334.09,2386.94,2323.28,2336.41,1677077
GPC,136.77,139.78,135.7387,139.66,721109
GPN,131.79,131.96,128.36,129.17,1126928
GPS,10.95,10.96,10.485,10.69,10275438
GRMN,105.25,105.91,104.09,104.61,570607
GS,323.0,325.21,319.79,320.51,1099800
GT,13.45,13.76,13.33,13.69,3375975
GWW,498.78,501.83,496.42,498.73,161135
HAL,42.1,42.41,41.13,41.32,7125854
HAS,89.31,89.55,88.18,88.57,472211
HBAN,13.71,13.9606,13.64,13.7,9936062
HBI,11.87,11.91,11.622,11.83,3738097
HCA,207.41,208.88,203.95,204.82,1531786
HD,305.56,307.613,303.25,303.89,2562003
HES,128.76,129.62,126.03,126.61,1422887
HIG,72.43,73.11,71.73,72.77,1694815
HII,212.97,213.32,210.59,212.51,309157
HLT,143.73,145.7,141.95,144.42,1579682
HOG,35.64,35.836999999999996,34.53,35.3,1869094
HOLX,75.84,76.0,75.07,75.13,921351
HON,196.59,196.97,194.49,195.19,1586153
HP,51.2,52.84,50.9,52.78,1406051
HPE,15.25,15.425,15.09,15.22,9342418
HPQ,40.07,40.59,39.285,39.52,8041209
HRB,36.0,36.52,35.53,35.83,1964817
HRL,45.36,45.68,45.1552,45.6,1718035
HSIC,84.1,84.86,83.755,84.16,331024
HST,20.69,21.25,20.45,21.16,9826053
HSY,210.06,211.98,209.54,211.41,753204
HUM,443.98,449.0,441.44,444.1,365655
HWM,37.0,37.1,36.51,36.65,1818122
IBM,142.98,144.73,142.0,142.88,4767100
ICE,101.13,102.775,100.5525,100.86,2371664
IDXX,376.31,378.64,368.32,372.22,557202
IEX,196.15,197.23,194.66,195.01,170135
IFF,133.0,134.68,131.91,132.59,430836
IGT,21.72,22.1,21.54,21.97,1376973
ILMN,238.0,238.77,224.65,226.6,1318868
INCY,74.82,74.82,73.195,73.89,1080227
INTC,43.81,44.04,43.08,43.34,25437061
INTU,416.58,419.86,406.751,408.97,859916
IP,47.24,47.72,46.88,47.26,2620628
IPG,31.31,31.575,31.15,31.32,2510857
IPGP,102.785,106.63,102.595,103.79,557631
IQV,221.31,223.2,219.31,220.79,585204
IR,49.19,49.63,48.95,49.33,2907670
IRM,54.07,54.22,52.99,53.09,957208
ISRG,221.45,222.84,215.4841,216.43,1374508
IT,269.0,271.04,265.5,267.1,337994
ITT,75.09,75.49,74.53,75.46,422777
ITW,208.34,209.4702,207.55,208.17,458436
IVZ,18.87,19.27,18.81,18.93,2482382
J,139.24,139.24,135.8,135.85,607063
JBHT,179.59,181.69,178.6,181.07,482944
JBL,61.92,63.38,61.895,62.24,602730
JCI,54.98,55.48,54.43,55.0,4560038
JEF,32.44,32.97,32.07,32.38,616965
JKHY,186.86,189.96,185.96,186.38,235739
JNJ,177.21,178.5,175.995,176.4,5386517
JNPR,31.09,31.24,30.57,30.7,1874688
JPM,131.09,132.39,129.46,129.73,11323459
JWN,26.01,26.355,25.38,26.18,3550608
K,67.87,68.56,67.655,68.45,2252793
KBH,33.89,33.89,33.25,33.36,1243865
KDP,37.25,37.32,36.24,36.7,23883025
KEY,19.86,19.985,19.63,19.66,6143853
KEYS,148.66,150.0,145.93,146.63,580471
