Date,Time,Ticker,open,high,low,close,volume
20220705,11:02:00,AAPL,138.675,138.69,138.58,138.6099,84845
20220705,11:03:00,AAPL,138.61,138.82,138.525,138.645,128324
20220705,11:04:00,AAPL,138.64,138.8,138.64,138.7606,61820
20220705,11:05:00,AAPL,138.75,138.78,138.43,138.465,154085
20220705,11:06:00,AAPL,138.46,138.58,138.41,138.58,118003
20220705,11:07:00,AAPL,138.59,138.69,138.57,138.62,55896
20220705,11:08:00,AAPL,138.6082,138.7246,138.39,138.46,101682
20220705,11:09:00,AAPL,138.4561,138.565,138.35,138.55,101503
20220705,11:10:00,AAPL,138.54,138.6,138.48,138.49,74489
20220705,11:11:00,AAPL,138.47,138.5,138.25,138.26,157671
20220705,11:12:00,AAPL,138.275,138.42,138.17,138.415,129440
20220705,11:13:00,AAPL,138.42,138.4601,138.3099,138.3298,67592
20220705,11:14:00,AAPL,138.33,138.48,138.31,138.435,82141
20220705,11:15:00,AAPL,138.42,138.5524,138.39,138.535,104029
20220705,11:16:00,AAPL,138.515,138.6,138.37,138.465,109419
20220705,11:17:00,AAPL,138.465,138.69,138.4244,138.61,102684
20220705,11:18:00,AAPL,138.62,138.6409,138.5,138.52,66282
20220705,11:19:00,AAPL,138.52,138.65,138.445,138.62,73327
20220705,11:20:00,AAPL,138.63,138.8,138.6,138.76,127183
20220705,11:21:00,AAPL,138.75,138.81,138.6001,138.63,82651
20220705,11:22:00,AAPL,138.61,138.6293,138.47,138.47,118898
20220705,11:23:00,AAPL,138.475,138.475,138.29,138.36,115076
20220705,11:24:00,AAPL,138.35,138.48,138.3327,138.46,59137
20220705,11:25:00,AAPL,138.46,138.475,138.35,138.37,48291
20220705,11:26:00,AAPL,138.3699,138.39,138.2201,138.26,85104
20220705,11:27:00,AAPL,138.256,138.55,138.25,138.37,93106
20220705,11:28:00,AAPL,138.38,138.51,138.28,138.46,101557
20220705,11:29:00,AAPL,138.46,138.5,138.36,138.39,44761
20220705,11:30:00,AAPL,138.3646,138.4196,138.25,138.2899,89786
20220705,11:31:00,AAPL,138.2816,138.48,138.27,138.42,47251
20220705,11:32:00,AAPL,138.42,138.6815,138.42,138.615,116739
20220705,11:33:00,AAPL,138.62,138.74,138.59,138.625,88896
20220705,11:34:00,AAPL,138.62,138.62,138.53,138.59,55524
20220705,11:35:00,AAPL,138.59,138.68,138.56,138.68,78285
20220705,11:36:00,AAPL,138.665,138.68,138.36,138.3908,101986
20220705,11:37:00,AAPL,138.39,138.54,138.38,138.51,66313
20220705,11:38:00,AAPL,138.5,138.5,138.3219,138.35,78169
20220705,11:39:00,AAPL,138.33,138.4592,138.29,138.4,63061
20220705,11:40:00,AAPL,138.41,138.61,138.4,138.57,104567
20220705,11:41:00,AAPL,138.5601,138.72,138.53,138.6538,84909
20220705,11:42:00,AAPL,138.66,138.82,138.66,138.815,133687
20220705,11:43:00,AAPL,138.82,138.98,138.82,138.88,153746
20220705,11:44:00,AAPL,138.88,139.0899,138.86,139.0702,161380
20220705,11:45:00,AAPL,139.07,139.23,139.0,139.21,131657
20220705,11:46:00,AAPL,139.21,139.32,139.1732,139.29,206978
20220705,11:47:00,AAPL,139.29,139.4742,139.26,139.4093,130234
20220705,11:48:00,AAPL,139.405,139.49,139.36,139.3913,159581
20220705,11:49:00,AAPL,139.395,139.4399,139.31,139.395,132776
20220705,11:50:00,AAPL,139.4,139.43,139.33,139.43,84799
20220705,11:51:00,AAPL,139.44,139.59,139.4,139.5058,195293
20220705,11:52:00,AAPL,139.5016,139.545,139.35,139.42,125902
20220705,11:53:00,AAPL,139.43,139.57,139.425,139.54,149451
20220705,11:54:00,AAPL,139.55,139.73,139.55,139.71,255487
20220705,11:55:00,AAPL,139.7,139.7,139.53,139.5817,201864
20220705,11:56:00,AAPL,139.59,139.6099,139.43,139.46,150242
20220705,11:57:00,AAPL,139.45,139.46,139.31,139.35,127962
20220705,11:58:00,AAPL,139.35,139.4211,139.32,139.4211,78660
20220705,11:59:00,AAPL,139.42,139.43,139.25,139.33,99911
20220705,12:00:00,AAPL,139.35,139.42,139.26,139.34,91694
20220705,12:01:00,AAPL,139.3609,139.49,139.31,139.475,99435
20220705,12:02:00,AAPL,139.48,139.5,139.2,139.23,131129
20220705,12:03:00,AAPL,139.25,139.34,139.04,139.11,139527
20220705,12:04:00,AAPL,139.12,139.22,139.05,139.12,106368
20220705,12:05:00,AAPL,139.1299,139.1999,139.01,139.05,104810
