Symbol,since
IR,0
INTC,0
ICE,0
IBM,0
IP,0
IPG,0
IFF,0
INTU,0
ISRG,0
IVZ,0
IPGP,0
IQV,0
IRM,0
JKHY,0
J,0
JBHT,0
SJM,0
JNJ,0
JCI,0
JPM,0
JNPR,0
KSU,0
K,0
KEY,0
KEYS,0
KMB,0
KIM,0
KMI,0
KLAC,0
KHC,0
KR,0
BBWI,0
LHX,0
LH,0
LRCX,0
LW,0
LVS,0
LEG,0
LDOS,0
LEN,0
LLY,0
LNC,0
LIN,0
LYV,0
LKQ,0
LMT,0
L,0
LOW,0
LUMN,0
LYB,0
MTB,0
MRO,0
MPC,0
MKTX,0
MAR,0
MMC,0
MLM,0
MAS,0
MA,0
MKC,0
MXIM,0
MCD,0
MCK,0
MDT,0
MRK,0
MET,0
MTD,0
MGM,0
MCHP,0
MU,0
MSFT,0
MAA,0
MRNA,0
MHK,0
TAP,0
MDLZ,0
MPWR,0
MNST,0
MCO,0
MS,0
MOS,0
MSI,0
MSCI,0
NDAQ,0
NTAP,0
NFLX,0
NWL,0
NEM,0
NWSA,0
NWS,0
NEE,0
NLSN,0
NKE,0
NI,0
NSC,0
NTRS,0
NOC,0
NLOK,0
NCLH,0
NOV,0
NRG,0
NUE,0
NVDA,0
NVR,0
NXPI,0
ORLY,0
OXY,0
ODFL,0
OMC,0
OKE,0
ORCL,0
OGN,0
OTIS,0
PCAR,0
PKG,0
PH,0
PAYX,0
PAYC,0
PYPL,0
PENN,0
PNR,0
PBCT,0
PEP,0
PKI,0
PRGO,0
PFE,0
PM,0
PSX,0
PNW,0
PXD,0
PNC,0
POOL,0
PPG,0
PPL,0
PFG,0
PG,0
PGR,0
PLD,0
PRU,0
PTC,0
PEG,0
PSA,0
PHM,0
PVH,0
QRVO,0
PWR,0
QCOM,0
DGX,0
RL,0
RJF,0
RTX,0
O,0
REG,0
REGN,0
RF,0
RSG,0
RMD,0
RHI,0
ROK,0
ROL,0
ROP,0
ROST,0
RCL,0
SPGI,0
CRM,0
SBAC,0
SLB,0
STX,0
SEE,0
SRE,0
NOW,0
SHW,0
SPG,0
SWKS,0
SNA,0
SO,0
LUV,0
SWK,0
SBUX,0
STT,0
STE,0
SYK,0
SIVB,0
SYF,0
SNPS,0
SYY,0
TMUS,0
TROW,0
TTWO,0
TPR,0
TGT,0
TEL,0
TDY,0
TFX,0
TER,0
TSLA,0
TXN,0
TXT,0
TMO,0
TJX,0
TSCO,0
TT,0
TDG,0
TRV,0
TRMB,0
TFC,0
TWTR,0
TYL,0
TSN,0
UDR,0
ULTA,0
USB,0
UAA,0
UA,0
UNP,0
UAL,0
UNH,0
UPS,0
URI,0
UHS,0
UNM,0
VLO,0
VTR,0
VRSN,0
VRSK,0
VZ,0
VRTX,0
VFC,0
VIAC,0
VTRS,0
V,0
VNO,0
VMC,0
WRB,0
WAB,0
WMT,0
WBA,0
DIS,0
WM,0
WAT,0
WEC,0
WFC,0
WELL,0
WST,0
WDC,0
WU,0
WRK,0
WY,0
WHR,0
WMB,0
WLTW,0
WYNN,0
XEL,0
XLNX,0
XYL,0
YUM,0
ZBRA,0
ZBH,0
ZION,0
ZTS,0
ALXN,0
HFC,0
FLIR,0
VAR,0
FLS,0
SLG,0
XRX,0
VNT,0
FTI,0
CXO,0
TIF,0
AIV,0
NBL,0
ETFC,0
HRB,0
COTY,0
KSS,0
ADS,0
HOG,0
JWN,0
HP,0
CPRI,0
AGN,0
M,0
RTN,0
XEC,0
WCG,0
AMG,0
TRIP,0
MAC,0
STI,0
VIAB,0
CELG,0
NKTR,0
JEF,0
TSS,0
APC,0
FL,0
RHT,0
LLL,0
MAT,0
DWDP,0
FLR,0
BHF,0
GT,0
NFX,0
PCG,0
SCG,0
ESRX,0
COL,0
AET,0
SRCL,0
EQT,0
CA,0
EVHC,0
ANDV,0
XL,0
GGP,0
DPS,0
TWX,0
RRC,0
AYI,0
MON,0
NAVI,0
WYN,0
CSRA,0
SIG,0
PDCO,0
CHK,0
SNI,0
BCR,0
LVLT,0
SPLS,0
WFM,0
AN,0
RIG,0
BBBY,0
MUR,0
MNK,0
RAI,0
YHOO,0
TDC,0
R,0
MJN,0
TGNA,0
DNB,0
SWN,0
URBN,0
FTR,0
FSLR,0
HAR,0
LLTC,0
ENDP,0
PBI,0
SE,0
STJ,0
OI,0
LM,0
AA,0
DO,0
HOT,0
EMC,0
CPGX,0
GAS,0
TE,0
CVC,0
BXLT,0
CCE,0
ARG,0
TWC,0
SNDK,0
ADT,0
GME,0
THC,0
CAM,0
POM,0
ESV,0
GMCR,0
CNX,0
PCL,0
PCP,0
BRCM,0
FOSL,0
ALTR,0
CMCSK,0
CSC,0
SIAL,0
GNW,0
HCBK,0
JOY,0
HSP,0
PLL,0
DTV,0
NE,0
FDO,0
KRFT,0
ATI,0
TEG,0
QEP,0
LO,0
WIN,0
DNR,0
NBR,0
AVP,0
CFN,0
PETM,0
SWY,0
COV,0
BMS,0
JBL,0
BTU,0
GHC,0
RDC,0
X,0
FRX,0
IGT,0
LSI,0
BEAM,0
SLM,0
CLF,0
WPX,0
LIFE,0
ANF,0
JDSU,0
MOLX,0
JCP,0
NYX,0
DELL,0
SAI,0
BMC,0
S,0
APOL,0
FHN,0
HNZ,0
DF,0
CVH,0
PCS,0
BIG,0
FII,0
TIE,0
RRD,0
CBE,0
SUN,0
ANR,0
LXK,0
DV,0
SHLD,0
GR,0
PGN,0
SLE,0
NVLS,0
MMI,0
EP,0
SVU,0
MHS,0
CEG,0
CPWR,0
TLAB,0
AKS,0
MWW,0
WFR,0
JNS,0
ITT,0
CEPH,0
NSM,0
MI,0
RSH,0
MEE,0
NOVL,0
GENZ,0
Q,0
MFE,0
AYE,0
KG,0
EK,0
ODP,0
NYT,0
PTV,0
SII,0
MIL,0
STR,0
XTO,0
BJS,0
RX,0
CIEN,0
DYN,0
KBH,0
CVG,0
SGP,0
ACAS,0
JNY,0
WB,0
LEH,0
FRE,0
FNM,0
ABK,0
TRB,0
DJ,0
AV,0
SLR,0
NCR,0
FDC,0
KSE,0
TSG,0
SBL,0
ABS,0
GLK,0
QTRN,0
BS,0
GRA,0
CCK,0
RAD,0
LDW,0
BRK.B,0
TECH,0
BRO,0
CDAY,0
MTCH,0
CTRA,0
SPY,0
SPX,0
$SPX.X,0
BALL,0
CPT,0
ELV,0
EPAM,0
FDS,0
KDP,0
META,0
MOH,0
NDSN,0
ON,0
PARA,0
SBNY,0
SEDG,0
VICI,0
WBD,0
WTW,0
BF-B,0
CSGP,0
INVH,0
TRGP,0
