,Unnamed: 0,Ticker,open,high,low,close,volume,Date
114374,374,MMM,228.14,229.96,226.75,229.33,1393185,20171114
114919,299,MMM,37.9375,37.9375,37.0,37.5625,2380200,19980731
115509,382,MMM,86.6522,87.62,86.06,86.55,3685315,20100921
116133,375,MMM,81.56,81.92,80.05,80.21,3663140,20071114
116714,338,MMM,61.4,61.8,60.71,60.775,2929800,20020415
117277,338,MMM,63.625,64.25,63.2,63.2,5573000,20030606
117877,370,MMM,76.25,76.75,76.13,76.35,2795600,20070222
118496,380,MMM,110.99,111.06,108.95,109.03,2400667,20130612
119125,375,MMM,234.12,235.94,233.375,235.63,1871691,20171128
119753,382,MMM,83.92,84.08,82.48,82.96,2473188,20100909
120383,381,MMM,108.46,108.775,107.64,108.67,2681195,20130606
121013,376,MMM,183.4,186.12,183.08,186.04,2850946,20170222
121625,364,MMM,179.3,180.87,179.17,180.76,2355218,20210208
122199,337,MMM,57.575,57.775,56.65,57.63,2370000,20020401
122799,375,MMM,82.57,83.8,82.04,83.41,4377398,20071128
123382,339,MMM,64.25,64.45,63.25,64.18,3433200,20030612
123976,364,MMM,181.22,181.9,180.18,180.94,1942829,20210209
124588,376,MMM,185.91,187.455,185.71,187.19,2401641,20170223
125217,381,MMM,109.38,111.12,108.97,111.11,3376913,20130607
125792,320,MMM,45.125,45.6875,44.5,44.96875,3726800,20000908
126349,338,MMM,64.25,64.315,63.76,63.9,3947800,20030613
126954,375,MMM,83.08,84.1,82.97,83.61,3226388,20071129
127568,370,MMM,76.49,76.57,75.95,76.21,1988000,20070223
128189,381,MMM,82.21,83.71,82.21,82.75,2789571,20100908
128813,375,MMM,236.05,238.19,235.64,238.01,1754594,20171129
129440,381,MMM,108.95,111.44,108.58,111.2,2604119,20130613
130077,382,MMM,86.26,87.63,86.0601,87.41,3665878,20100920
130700,374,MMM,231.0,231.76,229.11,230.18,1389916,20171101
131245,299,MMM,39.21875,39.3125,38.5,38.625,3684400,19980724
131829,375,MMM,80.05,80.76,79.32,79.65,4203993,20071115
132394,321,MMM,41.875,42.34375,40.25,40.875,4520000,20000920
132988,375,MMM,86.07,86.28,83.88,83.9,4342426,20071101
133530,299,MMM,38.0,38.0,37.75,37.78125,1410600,19980730
134114,375,MMM,228.07,228.51,226.04,227.4,1512124,20171115
134744,384,MMM,78.44,80.58,77.93,80.52,4957837,20100707
135381,389,MMM,164.75,165.22,162.3,162.3,3561892,20150130
135940,301,MMM,34.5,35.59375,34.25,35.34375,3314600,19980903
