open,high,low,close,volume,Date,Time
2219.63,2220.52,2219.25,2220.45,1008,20220705,16:56:00
2220.36,2221.64,2220.35,2221.23,700,20220705,16:57:00
2220.0,2220.0,2218.02,2218.02,1593,20220705,16:58:00
2218.565,2219.3984,2217.52,2217.52,2680,20220705,16:59:00
2217.505,2219.11,2216.58,2218.8404,1992,20220705,17:00:00
2219.05,2219.2,2217.55,2217.55,1300,20220705,17:01:00
2217.22,2219.35,2216.695,2218.65,1780,20220705,17:02:00
2219.745,2220.4858,2219.745,2219.75,700,20220705,17:03:00
2219.6424,2223.08,2219.5,2223.08,2013,20220705,17:04:00
2221.75,2221.75,2219.62,2219.74,1280,20220705,17:05:00
2218.8,2219.67,2218.8,2219.5686,660,20220705,17:06:00
2219.63,2220.39,2218.8,2220.01,2350,20220705,17:07:00
2220.03,2221.34,2220.03,2221.34,400,20220705,17:08:00
2222.6,2224.73,2222.6,2224.39,1500,20220705,17:09:00
2224.33,2226.73,2224.2711,2226.27,2732,20220705,17:10:00
2225.94,2228.38,2225.94,2228.38,2299,20220705,17:11:00
2228.525,2229.03,2227.7701,2229.0,849,20220705,17:12:00
2228.81,2228.81,2227.54,2227.54,1100,20220705,17:13:00
2228.205,2228.868,2228.205,2228.7,680,20220705,17:14:00
2229.0,2229.15,2229.0,2229.08,400,20220705,17:15:00
2228.53,2228.53,2228.35,2228.35,400,20220705,17:16:00
2229.65,2233.5,2229.65,2233.2,2923,20220705,17:17:00
2232.68,2236.59,2232.68,2235.28,750,20220705,17:18:00
2236.58,2237.94,2236.36,2237.94,700,20220705,17:19:00
2237.22,2238.1,2237.2,2237.2601,1060,20220705,17:20:00
2237.62,2238.03,2234.69,2234.69,6536,20220705,17:21:00
2237.0,2240.32,2237.0,2240.23,4343,20220705,17:22:00
2241.4351,2241.52,2238.67,2238.67,3119,20220705,17:23:00
2238.51,2238.51,2237.0,2237.0,1325,20220705,17:24:00
2237.84,2239.575,2237.84,2238.735,1760,20220705,17:25:00
2239.81,2241.6917,2238.74,2241.6917,2684,20220705,17:26:00
2240.645,2242.23,2239.87,2241.46,3347,20220705,17:27:00
2241.7,2241.7,2240.855,2240.855,1180,20220705,17:28:00
2241.77,2243.2758,2240.485,2240.485,3114,20220705,17:29:00
2241.4437,2242.125,2240.5825,2240.95,1380,20220705,17:30:00
2240.51,2242.375,2240.51,2242.3,1313,20220705,17:31:00
2242.695,2242.695,2241.06,2241.06,430,20220705,17:32:00
2243.7974,2243.8325,2242.2,2243.0,2015,20220705,17:33:00
2245.1104,2246.7,2244.5,2246.7,744,20220705,17:34:00
2247.545,2248.0,2246.34,2247.6591,1929,20220705,17:35:00
2247.21,2251.0,2246.76,2251.0,2918,20220705,17:36:00
2250.43,2250.9999,2250.0716,2250.64,1328,20220705,17:37:00
2250.12,2250.94,2249.9803,2250.94,1357,20220705,17:38:00
2251.54,2251.8029,2250.65,2250.74,1800,20220705,17:39:00
2250.94,2252.0,2249.68,2250.32,2270,20220705,17:40:00
2250.305,2251.79,2249.03,2249.03,1994,20220705,17:41:00
2249.48,2251.3238,2249.48,2250.68,3098,20220705,17:42:00
2250.11,2250.11,2246.51,2246.51,880,20220705,17:43:00
2246.01,2247.47,2245.69,2246.18,1060,20220705,17:44:00
2245.58,2245.58,2243.96,2243.96,300,20220705,17:45:00
2241.46,2244.77,2241.46,2244.1769,960,20220705,17:46:00
2241.72,2242.058,2241.48,2242.058,325,20220705,17:47:00
2241.0,2241.77,2240.76,2241.04,3280,20220705,17:48:00
2240.88,2242.84,2240.81,2242.57,4493,20220705,17:49:00
2242.61,2243.1376,2241.69,2243.1376,845,20220705,17:50:00
2242.5969,2242.5969,2241.625,2242.525,660,20220705,17:51:00
2242.28,2242.28,2242.28,2242.28,100,20220705,17:52:00
2242.07,2242.07,2242.07,2242.07,100,20220705,17:53:00
2242.7,2243.5,2242.0,2243.32,3080,20220705,17:54:00
2243.8507,2244.0099,2242.44,2242.68,1739,20220705,17:55:00
2242.28,2242.56,2242.28,2242.4931,380,20220705,17:56:00
2244.07,2244.07,2244.06,2244.07,600,20220705,17:57:00
2244.355,2245.62,2244.07,2245.075,2615,20220705,17:58:00
2245.71,2248.2609,2245.71,2248.16,401,20220705,17:59:00
2247.86,2247.86,2246.72,2247.565,613,20220705,18:00:00
2247.7,2247.86,2247.43,2247.86,680,20220705,18:01:00
2248.755,2249.955,2248.755,2249.64,500,20220705,18:02:00
2250.55,2251.215,2249.93,2250.0,1335,20220705,18:03:00
2250.685,2252.55,2250.1,2252.41,2478,20220705,18:04:00
2251.7424,2251.7424,2249.64,2249.64,1160,20220705,18:05:00
2250.0,2250.0,2249.51,2249.99,1952,20220705,18:06:00
2249.32,2251.92,2249.32,2251.92,1710,20220705,18:07:00
2252.48,2253.03,2249.43,2249.52,3021,20220705,18:08:00
2249.17,2250.57,2249.05,2249.5201,3260,20220705,18:09:00
2250.3377,2251.43,2250.3377,2251.13,660,20220705,18:10:00
2249.8,2252.4,2249.8,2251.805,1180,20220705,18:11:00
2252.6,2253.0,2251.53,2252.8,635,20220705,18:12:00
2252.7766,2252.82,2252.33,2252.33,1200,20220705,18:13:00
2251.585,2251.585,2249.905,2250.0,2930,20220705,18:14:00
2250.5336,2250.5336,2249.0,2250.0,4321,20220705,18:15:00
2250.0,2250.645,2248.96,2250.645,3600,20220705,18:16:00
2250.94,2253.25,2250.94,2253.25,1780,20220705,18:17:00
2251.43,2252.5699,2251.19,2251.69,1086,20220705,18:18:00
2251.0,2254.3,2250.3301,2253.785,2969,20220705,18:19:00
2253.08,2254.8799,2252.36,2252.36,1060,20220705,18:20:00
2251.9,2253.275,2251.9,2253.275,351,20220705,18:21:00
2253.38,2254.47,2252.76,2252.91,500,20220705,18:22:00
2252.0,2255.0,2252.0,2255.0,3194,20220705,18:23:00
2255.51,2258.0,2255.31,2257.527,2685,20220705,18:24:00
2257.8602,2259.45,2256.9,2259.45,3802,20220705,18:25:00
2259.45,2262.7568,2259.45,2261.11,3495,20220705,18:26:00
2262.12,2262.4283,2260.14,2260.7,996,20220705,18:27:00
2260.4401,2261.405,2260.4401,2261.005,930,20220705,18:28:00
2261.9,2261.9,2261.19,2261.19,595,20220705,18:29:00
2261.39,2261.93,2260.48,2261.93,960,20220705,18:30:00
2262.67,2266.4899,2262.67,2265.0,3378,20220705,18:31:00
2265.0,2266.63,2263.8701,2266.63,3286,20220705,18:32:00
2266.98,2268.33,2266.915,2266.915,1180,20220705,18:33:00
2266.2,2268.49,2266.2,2267.84,1748,20220705,18:34:00
2267.0637,2268.68,2267.0637,2268.68,280,20220705,18:35:00
2268.85,2270.97,2268.06,2270.97,2835,20220705,18:36:00
2270.325,2272.77,2269.82,2270.21,3842,20220705,18:37:00
2271.52,2272.32,2269.36,2269.36,2111,20220705,18:38:00
2271.0099,2274.43,2269.68,2274.39,7060,20220705,18:39:00
2273.74,2273.74,2271.31,2271.76,2951,20220705,18:40:00
2272.1321,2272.1321,2270.405,2271.7675,546,20220705,18:41:00
2270.02,2270.32,2265.0454,2266.58,3704,20220705,18:42:00
2267.582,2269.7799,2267.035,2268.1201,3691,20220705,18:43:00
2268.95,2270.19,2268.6,2269.72,4408,20220705,18:44:00
2269.56,2269.895,2268.77,2269.48,4180,20220705,18:45:00
2269.93,2271.16,2269.3675,2269.77,1980,20220705,18:46:00
2269.5,2269.5,2267.9633,2267.9633,1805,20220705,18:47:00
2268.25,2269.16,2267.2,2267.2,4879,20220705,18:48:00
2266.495,2268.0,2266.25,2267.78,5147,20220705,18:49:00
2267.57,2270.0,2267.57,2270.0,3266,20220705,18:50:00
2269.62,2269.91,2268.62,2269.805,1997,20220705,18:51:00
2270.6,2270.6,2269.19,2269.52,4785,20220705,18:52:00
2269.54,2269.55,2268.87,2269.245,1604,20220705,18:53:00
2269.9,2270.715,2269.9,2270.3274,880,20220705,18:54:00
2269.81,2269.87,2268.61,2269.65,3619,20220705,18:55:00
2270.1,2271.0,2269.89,2270.41,1278,20220705,18:56:00
2269.845,2270.4884,2269.845,2270.11,680,20220705,18:57:00
2269.99,2269.99,2269.5399,2269.5399,308,20220705,18:58:00
2270.03,2270.03,2270.03,2270.03,100,20220705,18:59:00
2269.115,2270.04,2269.115,2269.585,1000,20220705,19:00:00
2268.74,2269.09,2267.78,2267.78,900,20220705,19:01:00
2267.49,2268.7,2267.49,2268.29,1041,20220705,19:02:00
2268.91,2269.32,2268.91,2269.32,300,20220705,19:03:00
2269.57,2269.57,2268.53,2268.53,528,20220705,19:04:00
2270.33,2271.8,2269.85,2271.67,1864,20220705,19:05:00
2270.57,2271.14,2269.3001,2271.14,830,20220705,19:06:00
2272.51,2274.62,2272.51,2274.62,1417,20220705,19:07:00
