Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C2100,20220420,SPX,20220520,2100.0,C,0.0,0.0,0.0,0.0,0,15,2359.2,15,2368.6,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9996,0.0,-0.0224,0.0165,170.9831,15,2361.6,15,2369.6,4434.6602,4694.96,0.0,0,
.SPX20220520P2100,20220420,SPX,20220520,2100.0,P,0.15,0.15,0.1,0.15,1873,5,0.1,3279,0.2,4467.9902,4469.3198,4465.75,4468.6401,0.8339,-0.0005,0.0,-0.0319,0.0228,-0.1952,1290,0.05,1925,0.2,4434.6602,4694.96,0.1443,11897,
.SPX20220520C2150,20220420,SPX,20220520,2150.0,C,0.0,0.0,0.0,0.0,0,15,2309.6,15,2318.7,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9988,0.0,-0.0743,0.0504,174.7561,15,2311.7,15,2319.7,4434.6602,4694.96,0.0,0,
.SPX20220520P2150,20220420,SPX,20220520,2150.0,P,0.15,0.15,0.1,0.15,1352,142,0.1,3279,0.2,4467.9902,4469.3198,4465.75,4468.6401,0.8082,-0.0005,0.0,-0.0315,0.0232,-0.1984,25,0.1,1351,0.2,4434.6602,4694.96,0.1499,3039,
.SPX20220520C2200,20220420,SPX,20220520,2200.0,C,0.0,0.0,0.0,0.0,0,15,2259.4,15,2268.5,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9996,0.0,-0.0221,0.0173,179.2408,15,2261.8,15,2269.8,4434.6602,4694.96,0.0,0,
.SPX20220520P2200,20220420,SPX,20220520,2200.0,P,0.2,0.2,0.15,0.15,1143,1293,0.1,3722,0.2,4467.9902,4469.3198,4465.75,4468.6401,0.7846,-0.0005,0.0,-0.0316,0.024,-0.2055,2341,0.05,500,0.2,4434.6602,4694.96,0.199,15048,
.SPX20220520C2250,20220420,SPX,20220520,2250.0,C,0.0,0.0,0.0,0.0,0,15,2209.5,15,2218.6,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9989,0.0,-0.0659,0.048,182.9363,15,2207.4,15,2224.2,4434.6602,4694.96,0.0,1,
.SPX20220520P2250,20220420,SPX,20220520,2250.0,P,0.2,0.2,0.15,0.2,1272,2228,0.1,1662,0.2,4467.9902,4469.3198,4465.75,4468.6401,0.7613,-0.0006,0.0,-0.0317,0.0248,-0.2126,1931,0.1,1591,0.25,4434.6602,4694.96,0.1993,1670,
.SPX20220520C2300,20220420,SPX,20220520,2300.0,C,0.0,0.0,0.0,0.0,0,15,2159.8,15,2168.9,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9998,0.0,-0.0121,0.0106,187.3687,15,2161.9,15,2169.9,4434.6602,4694.96,0.0,0,
.SPX20220520P2300,20220420,SPX,20220520,2300.0,P,0.2,0.2,0.15,0.2,1187,117,0.15,4227,0.25,4467.9902,4469.3198,4465.75,4468.6401,0.755,-0.0007,0.0,-0.0402,0.0317,-0.2779,2590,0.1,1103,0.25,4434.6602,4694.96,0.1984,15638,
.SPX20220520C2350,20220420,SPX,20220520,2350.0,C,0.0,0.0,0.0,0.0,0,15,2109.6,15,2118.7,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9998,0.0,-0.012,0.0108,191.4121,30,2107.9,15,2124.3,4434.6602,4694.96,0.0,0,
.SPX20220520P2350,20220420,SPX,20220520,2350.0,P,0.2,0.25,0.2,0.25,1333,1798,0.15,2307,0.25,4467.9902,4469.3198,4465.75,4468.6401,0.7318,-0.0007,0.0,-0.0401,0.0326,-0.2858,846,0.15,2527,0.3,4434.6602,4694.96,0.2041,1505,
